Area;Transect;Plot_Dist;Slope;Aspect;Profile;TreeNum;Species;Status;DBH;Height;Age;Basal Area_m2
BLE;1;0;12;285;plan;2;PSME;Live;3.9;3.4;20;0.001
BLE;1;0;12;285;plan;1;PSME;Live;6;3.9;18;0.003
BLE;1;200;21;262;conv;1;PSME;Live;2.3;2.4;19;0.000
BLE;1;250;12;268;plan;1;PSME;Live;2.3;2.6;8;0.000
BLE;1;300;22;308;conv;1;PSME;Live;45.7;24.8;92;0.164
BLE;1;300;22;308;conv;2;PSME;Live;63.1;33.1;100;0.313
BLE;1;300;22;308;conv;3;PSME;Live;63.1;31.9;NA;0.313
BLE;1;350;26;296;plan;1;PSME;Live;10.3;8.7;64;0.008
BLE;1;350;26;296;plan;2;PSME;Live;59.7;30.7;102;0.280
BLE;1;350;26;296;plan;3;PSME;Live;57.2;30.7;NA;0.257
BLE;1;350;26;296;plan;4;PSME;Live;40.6;29;NA;0.129
BLE;1;350;26;296;plan;5;PSME;Live;25.4;31.2;NA;0.051
BLE;1;375;27;296;plan;5;PSME;Dead;26.4;17.3;NA;0.055
BLE;1;375;27;296;plan;4;PSME;Dead;3.8;4.2;NA;0.001
BLE;1;375;27;296;plan;2;PSME;Live;21.8;25.3;91;0.037
BLE;1;375;27;296;plan;1;PSME;Live;50.6;28.5;106;0.201
BLE;1;375;27;296;plan;3;PSME;Live;26.8;23.7;NA;0.056
BLE;1;375;27;296;plan;6;PSME;Live;46.5;26.8;NA;0.170
BLE;1;375;27;296;plan;7;PSME;Live;59.1;30.4;NA;0.274
BLE;1;400;30;296;plan;4;PSME;Dead;58.4;8.8;NA;0.268
BLE;1;400;30;296;plan;6;PSME;Dead;48.1;18.1;NA;0.182
BLE;1;400;30;296;plan;2;PSME;Live;19;14.3;95;0.028
BLE;1;400;30;296;plan;1;PSME;Live;60.5;34.3;114;0.287
BLE;1;400;30;296;plan;3;PSME;Live;29.1;20.5;NA;0.067
BLE;1;400;30;296;plan;5;PSME;Live;22.4;8;NA;0.039
BLE;1;400;30;296;plan;7;PSME;Live;9.4;9;NA;0.007
BLE;1;425;33;294;plan;3;PSME;Dead;22.7;13.2;NA;0.040
BLE;1;425;33;294;plan;2;PSME;Live;60.8;27.9;101;0.290
BLE;1;425;33;294;plan;1;PSME;Live;35;23.3;118;0.096
BLE;1;425;33;294;plan;4;PSME;Live;42.2;29.8;NA;0.140
BLE;1;425;33;294;plan;5;PSME;Live;32.8;18.3;NA;0.084
BLE;1;425;33;294;plan;6;PSME;Live;31;22.1;NA;0.075
BLE;1;450;34;282;plan;1;PSME;Live;13;9.1;77;0.013
BLE;1;450;34;282;plan;2;PSME;Live;60.8;28.9;109;0.290
BLE;1;450;34;282;plan;3;PSME;Live;29;20.4;NA;0.066
BLE;1;450;34;282;plan;4;PSME;Live;30.5;17.4;NA;0.073
BLE;1;475;29;285;conc;3;PSME;Dead;16.8;12.7;101;0.022
BLE;1;475;29;285;conc;1;PSME;Dead;21.4;18.3;NA;0.036
BLE;1;475;29;285;conc;8;PSME;Dead;29;19.8;NA;0.066
BLE;1;475;29;285;conc;9;PSME;Dead;18.6;15.1;NA;0.027
BLE;1;475;29;285;conc;2;PSME;Live;51.6;31;115;0.209
BLE;1;475;29;285;conc;4;PSME;Live;32;20.5;NA;0.080
BLE;1;475;29;285;conc;5;PSME;Live;59.1;30.1;NA;0.274
BLE;1;475;29;285;conc;6;PSME;Live;16.1;9.7;NA;0.020
BLE;1;475;29;285;conc;7;PSME;Live;53.2;22;NA;0.222
BLE;1;475;29;285;conc;10;PSME;Live;38.7;21.6;NA;0.118
BLE;1;500;35;282;plan;3;PSME;Dead;8.9;8.2;NA;0.006
BLE;1;500;35;282;plan;4;PSME;Dead;32.9;4.5;NA;0.085
BLE;1;500;35;282;plan;1;PSME;Live;16.2;15.5;52;0.021
BLE;1;500;35;282;plan;2;PSME;Live;44.1;27.8;115;0.153
BLE;1;500;35;282;plan;5;PSME;Live;39.5;23.2;NA;0.123
BLE;1;500;35;282;plan;6;PSME;Live;38.6;25.3;NA;0.117
BLE;1;500;35;282;plan;7;PSME;Live;57.6;26.3;NA;0.261
BLE;1;525;36;291;plan;1;PSME;Live;62.2;33.7;122;0.304
BLE;1;550;34;297;plan;2;PSME;Live;72.4;31;94;0.412
BLE;1;550;34;297;plan;1;PSME;Live;41.2;28.2;103;0.133
