N_mg_g_soil	Species_richness	field
49.0622816	2	1
42.4699738	4	1
46.6273561	4	1
45.7028329	5	1
46.9485146	5	1
39.7183113	6	1
48.785455	6	1
35.3122017	7	1
38.2295902	7	1
43.7327166	7	1
48.7678353	7	1
43.9203697	8	1
48.4115163	8	1
28.0700057	10	1
30.8956809	10	1
41.5078803	10	1
48.1218336	11	1
27.4409637	12	1
35.6361877	12	1
27.8805222	13	1
38.7721768	13	1
49.1311624	3	2
46.038339	4	2
40.6779184	4	2
44.3496227	5	2
54.2459061	5	2
38.2773449	6	2
46.9683537	6	2
37.4673407	7	2
42.4035844	7	2
47.4978495	7	2
36.6546453	8	2
40.0025467	8	2
29.4060834	9	2
41.0168558	9	2
42.8079156	10	2
42.9030373	10	2
37.5094912	11	2
28.8711524	12	2
32.9086655	12	2
28.4196607	13	2
34.1296138	13	2
23.0309797	14	3
22.1432472	16	3
23.952262	16	3
23.9463387	17	3
24.2723028	18	3
25.7757287	19	3
21.6698522	20	3
32.5582419	20	3
18.8256094	22	3
20.4804398	22	3
18.4762475	23	3
18.7243818	24	3
15.0603963	26	3
17.4782717	28	3
14.6208404	28	3
14.3957221	31	3
10.0940225	32	3
13.182037	32	3
18.3043079	35	3
13.478795	37	3
8.8214072	42	3
54.2014183	3	4
43.6366951	4	4
50.4001172	4	4
37.8324584	5	4
51.7276422	5	4
40.6387456	6	4
48.1169065	6	4
38.1655199	7	4
31.8354983	7	4
43.3246153	7	4
37.9189911	8	4
46.6572914	8	4
38.3114238	9	4
34.8269502	9	4
31.6290884	10	4
26.808275	11	4
32.2393294	11	4
30.7561497	12	4
37.5055465	12	4
26.2737365	13	4
36.5329494	13	4
31.0275755	14	5
24.8188667	15	5
34.9459191	16	5
27.7921933	17	5
18.6301074	19	5
24.0526278	19	5
31.4127396	19	5
16.482705	22	5
14.8570292	22	5
22.5141631	22	5
15.3456734	23	5
19.805881	24	5
19.9359688	25	5
27.7798769	27	5
17.3472858	30	5
23.0893841	30	5
11.4651016	32	5
16.8023423	34	5
13.5734552	35	5
13.0821595	36	5
15.3251952	41	5
30.1650829	14	6
21.7906478	16	6
21.9460823	17	6
28.1005668	17	6
31.1931408	17	6
25.7946003	19	6
27.8224642	19	6
18.9239506	21	6
15.1724221	22	6
23.502605	22	6
11.6002381	24	6
16.53422	24	6
10.5139862	27	6
21.7557404	27	6
14.9038877	28	6
24.7084544	30	6
12.7154318	32	6
5.9035823	35	6
8.8092648	35	6
6.6725863	40	6
12.547775	40	6
