Species	nat	no_plants	surviving	growth.form	Tree	origin
Abroma_angusta	0	6	0	S	S	Eurasia
Acacia_senegal	0	18	0	S	S	Africa
Acalypha_hispida	0	NA	0	S	S	Australasia
Acalypha_wilkesiana	0	NA	0	S	S	Australasia
Acocanthera_longiflora	0	43	0	S	S	Africa
Allamanda_neriifolia	0	NA	0	S	S	Americas
Aloysia_citriodora	0	1	0	S	S	Americas
Annona_cherimola	0	11	0	S	S	Americas
Annona_glabra	0	1	0	S	S	Disjunct
Annona_muricata	0	96	0	S	S	Americas
Annona_reticulata	0	15	0	S	S	Americas
Antidesma_ghaesembilla	0	14	0	S	S	Eurasia
Berrya_ammonilla	0	13	0	S	S	Eurasia
Berrya_mellis	0	2	0	S	S	Eurasia
Bixa_orellana	0	77	0	S	S	Americas
Brachylaena_hutchensii	0	56	0	S	S	Africa
Brownea_latifolia	0	1	0	S	S	Americas
Brunsfelsia_americana	0	54	0	S	S	Americas
Brunsfelsia_pauciflora	0	1	0	S	S	Americas
Brunsfelsia_undulata	0	NA	0	S	S	Americas
Callicarpa_purpurea	0	1	0	S	S	Eurasia
Camellia_sasangua	0	2	0	S	S	Eurasia
Carissa_carandas	0	NA	0	S	S	Eurasia
Cassia_fistula	0	1	0	S	S	Eurasia
Cassia_grandis	0	3	0	S	S	Americas
Cassia_javanica	0	NA	0	S	S	Eurasia
Citrus_aromaticus	0	10	0	S	S	NA
Citrus_aurantifolia	0	15	0	S	S	Eurasia
Citrus_aurantium	0	1	0	S	S	Eurasia
Citrus_limonia	0	NA	0	S	S	Eurasia
Citrus_medica	0	1	0	S	S	Eurasia
Citrus_nobilis_(all_varieties)	0	6	0	S	S	Eurasia
Citrus_sinensis	0	7	0	S	S	Eurasia
Clausena_lansium	0	3	0	S	S	Eurasia
Coffea_congensis_hybrid._Porto_Rico_C18	0	38	0	S	S	Africa
Crataegus_mexicana	0	3	0	S	S	Americas
Cydonia_oblonga	0	1	0	S	S	Eurasia
Dovyalis_hebecarpa	0	4	0	S	S	Eurasia
Erica_arborea	0	32	0	S	S	Disjunct
Erythroxylum_coca	0	306	0	S	S	Americas
Erythroxylum_novogranatense	0	174	0	S	S	Americas
Eugenia_mespiliodes	0	NA	0	S	S	Eurasia
Fatsia_japonica	0	6	0	S	S	Eurasia
Feijoa_sellowiana	0	4	0	S	S	Americas
Filicum_decipiens	0	2	0	S	S	Disjunct
Gardenia_urcelliformis	0	6	0	S	S	Africa
Grevillea_banksii	0	5	0	S	S	Australasia
Hibiscus_liliiflorus	0	1	0	S	S	Africa
Hibiscus_rosa-sinensis	0	19	0	S	S	Eurasia
Hibiscus_sabdariffa	0	NA	0	S	S	Africa
Hibiscus_schizopetalus	0	2	0	S	S	Africa
Indigofera_endecaphylla	0	NA	0	S	S	Disjunct
Jasminum_grabriusculum	0	1	0	S	S	Eurasia
Jasminum_nudiflorum	0	1	0	S	S	Eurasia
Jatropha_curcas	0	119	0	S	S	Americas
Jatropha_gossypifolia	0	1	0	S	S	Americas
Lawsonia_inermis	0	7	0	S	S	Disjunct
Leea_sundaica	0	1	0	S	S	Disjunct
Leucaena_glauca	0	NA	0	S	S	Americas
Ligustrum_japonicum	0	1	0	S	S	Eurasia
Lucuma_salicifolia	0	3	0	S	S	Americas
Lysidice_rhodostegia	0	1	0	S	S	Eurasia
Medinilla_magnifica	0	4	0	S	S	Eurasia
Melicoccus_bijugatus	0	2	0	S	S	Americas
Memecylon_caeruleum	0	2	0	S	S	Eurasia
Mimosa_elliptica	0	1	0	S	S	Americas
Moringa_pterygosperma	0	6	0	S	S	Eurasia
Morus_alba	0	NA	0	S	S	Eurasia
Morus_nigra	0	NA	0	S	S	Eurasia
Myrica_mexicana	0	100	0	S	S	Americas
