Brood	Ring	Age1	Implant	days	Age	Wing
301	898331	29	P	2	31	144
301	898331	29	P	6	35	159
301	898331	29	P	14	42	193
301	898332	27	P	2	29	129
301	898332	27	P	6	33	149
301	898332	27	P	14	40	178
301	898335	25	C	2	27	111
301	898335	25	C	6	31	130
301	898335	25	C	14	38	160
301	898333	23	C	2	25	102
301	898333	23	C	6	29	120
301	898333	23	C	14	36	156
302	898185	37	P	6	43	205
302	898184	35	C	6	41	187
302	898188	28	C	6	34	149
302	898189	27	P	6	33	148
303	898070	33	C	2	35	162
303	898070	33	C	6	39	179
303	898071	29	P	2	31	146
303	898071	29	P	6	35	161
303	898071	29	P	14	42	202
303	898073	23	C	2	25	102
303	898073	23	C	6	29	120
303	898073	23	C	14	36	156
303	898072	21	P	2	23	97
303	898072	21	P	6	27	120
303	898072	21	P	14	34	157
305	898200	31	C	6	37	165
305	898198	31	P	6	37	173
305	898198	31	P	14	43	203
305	898352	27	P	6	33	155
305	898199	25	C	6	31	127
306	898317	29	C	2	31	150
306	898317	29	C	6	35	174
306	898317	29	C	14	41	196
306	898318	29	P	2	31	156
306	898318	29	P	6	35	178
306	898318	29	P	14	41	206
306	898319	27	C	2	29	127
306	898319	27	C	6	33	145
306	898319	27	C	14	39	178
306	898320	25	P	2	27	118
306	898320	25	P	6	31	135
306	898320	25	P	14	37	160
307	898080	33	P	2	35	156
307	898080	33	P	6	38	172
307	898081	31	C	2	33	133
307	898081	31	C	6	36	152
307	898081	31	C	14	44	181
307	898082	29	C	2	31	125
307	898082	29	C	6	34	150
307	898082	29	C	14	42	184
307	898083	21	P	2	23	72
308	898059	32	C	2	34	146
308	898059	32	C	6	38	166
308	898058	29	P	2	31	134
308	898058	29	P	6	35	153
308	898058	29	P	14	44	192
310	898075	34	C	2	36	165
310	898075	34	C	6	40	185
310	898076	32	P	2	34	160
310	898076	32	P	6	38	183
310	898076	32	P	14	45	216
310	898077	30	C	2	32	138
310	898077	30	C	6	36	162
310	898077	30	C	14	43	196
310	898078	26	P	2	28	117
310	898078	26	P	6	32	147
310	898078	26	P	14	39	179
311	898096	38	C	2	40	184
311	898096	38	C	6	44	210
311	898095	38	P	2	40	189
311	898095	38	P	6	44	211
311	898098	31	C	2	33	147
311	898174	23	P	2	25	105
311	898174	23	P	6	29	132
311	898174	23	P	14	37	170
313	898062	31	P	2	33	152
313	898062	31	P	6	37	172
313	898061	31	C	2	33	151
313	898061	31	C	6	37	169
314	898084	32	C	2	34	145
314	898084	32	C	6	38	163
314	898084	32	C	14	45	196
314	898086	29	P	2	31	140
314	898086	29	P	6	35	160
314	898086	29	P	14	42	195
314	898085	28	C	2	30	128
314	898085	28	C	6	34	155
314	898085	28	C	14	41	187
314	898087	24	P	2	26	106
314	898087	24	P	6	30	132
314	898087	24	P	14	37	165
315	898327	30	C	2	32	170
315	898327	30	C	6	36	193
315	898327	30	C	14	43	220
315	898330	29	P	2	31	138
315	898330	29	P	6	35	155
315	898330	29	P	14	42	190
316	898384	33	C	2	35	154
316	898384	33	C	6	39	170
316	898385	30	P	2	32	126
316	898385	30	P	6	36	147
317	898324	30	P	2	32	154
317	898324	30	P	6	36	170
317	898324	30	P	14	42	200
317	898322	27	C	2	29	132
317	898322	27	C	6	33	149
317	898322	27	C	14	39	178
317	898323	25	C	2	27	123
317	898323	25	C	6	31	135
317	898323	25	C	14	37	160
317	898326	23	P	2	25	106
317	898326	23	P	6	29	135
317	898326	23	P	14	35	165
318	898099	39	P	2	41	190
318	898099	39	P	6	45	214
318	898100	30	C	2	32	147
318	898100	30	C	6	36	159
318	898100	30	C	14	44	191
318	898151	28	C	2	30	136
318	898151	28	C	6	34	147
318	898151	28	C	14	42	180
318	898173	21	P	2	23	89
318	898173	21	P	6	27	113
318	898173	21	P	14	35	157
319	898337	32	C	2	34	157
319	898337	32	C	6	38	176
319	898339	28	C	2	30	138
319	898339	28	C	6	34	151
319	898339	28	C	14	44	196
319	898340	27	P	2	29	124
319	898340	27	P	6	33	147
319	898340	27	P	14	43	201
319	898338	22	P	2	24	101
319	898338	22	P	6	28	129
319	898338	22	P	14	38	184
320	898190	31	P	2	33	148
320	898190	31	P	6	37	167
320	898191	30	C	2	32	145
320	898191	30	C	6	36	162
320	898193	25	C	2	27	108
320	898193	25	C	6	31	131
320	898192	22	P	2	24	95
320	898192	22	P	6	28	116
321	898091	35	P	2	37	175
321	898091	35	P	6	41	193
321	898089	33	P	2	35	161
321	898089	33	P	6	39	180
321	898092	29	C	2	31	144
321	898092	29	C	6	35	165
321	898092	29	C	14	42	195
321	898090	27	C	2	29	124
321	898090	27	C	6	33	145
321	898090	27	C	14	40	175
322	898195	32	C	6	38	173
322	898196	30	P	6	36	170
323	898347	31	C	2	33	147
323	898347	31	C	6	37	165
323	898347	31	C	14	43	193
323	898345	27	P	2	29	133
323	898345	27	P	6	33	156
323	898345	27	P	14	39	180
323	898346	27	P	2	29	134
323	898346	27	P	6	33	155
323	898346	27	P	14	39	185
323	898348	25	C	2	27	112
323	898348	25	C	6	31	135
323	898348	25	C	14	37	167
324	898342	31	P	2	33	155
324	898342	31	P	6	37	176
324	898341	30	P	2	32	155
324	898341	30	P	6	36	175
324	898344	27	C	2	29	129
324	898344	27	C	6	33	146
324	898344	27	C	14	43	197
324	898343	25	C	2	27	115
324	898343	25	C	6	31	135
324	898343	25	C	14	41	184
325	898356	31	C	2	36	158
325	898356	31	C	6	37	168
325	898357	28	P	2	33	152
325	898357	28	P	6	34	163
325	898357	28	P	14	45	213
325	898358	27	C	2	32	135
325	898358	27	C	6	33	137
325	898359	21	P	2	26	119
325	898359	21	P	6	27	131
326	898054	32	P	2	34	156
326	898054	32	P	6	38	175
326	898054	32	P	14	45	206
326	898055	30	C	2	32	143
326	898055	30	C	6	36	157
326	898055	30	C	14	43	191
326	898056	29	C	2	31	136
326	898056	29	C	6	35	156
326	898056	29	C	14	42	192
326	898057	24	P	2	26	115
326	898057	24	P	6	30	140
326	898057	24	P	14	37	173
328	898152	37	P	2	39	184
328	898152	37	P	6	43	200
328	898154	35	P	2	37	176
328	898154	35	P	6	41	195
328	898153	33	C	2	35	158
328	898153	33	C	6	39	178
328	898155	30	C	2	32	147
328	898155	30	C	6	36	167
328	898155	30	C	14	44	200
