Brood	Ring	Implant	Age	days	totCort
301	898331	P	49	20	5.761
301	898332	P	29	2	8.418
301	898332	P	47	20	8.047
301	898333	C	25	2	25.744
302	898185	P	57	20	8.041
302	898188	C	28	before	6.338
303	898070	C	35	2	27.874
303	898070	C	53	20	7.484
304	898093	P	35	2	15.408
304	898094	C	31	2	17.465
305	898352	P	27	before	8.016
306	898317	C	31	2	29.4545
306	898317	C	50	20	7.572
306	898318	P	50	20	10.41
307	898080	P	33	before	7.838
307	898080	P	52	20	21.399
307	898081	C	33	2	21.223
308	898058	P	29	before	12.544
308	898058	P	31	2	3.8065
308	898058	P	50	20	8.692
308	898059	C	32	before	9.149
308	898059	C	34	2	11.36766667
308	898059	C	53	20	12.262
309	898179	P	37	2	9.5795
309	898179	P	53	20	4.653
309	898181	P	28	2	2.2
309	898181	P	44	20	6.133
310	898075	C	34	before	6.949
310	898075	C	53	20	24.054
311	898098	C	33	2	23.672
311	898174	P	43	20	9.955
313	898061	C	33	2	24.721
313	898062	P	31	before	21.168
313	898062	P	33	2	10.39
313	898062	P	51	20	6.417
314	898084	C	32	before	7.059
314	898084	C	34	2	19.9525
314	898085	C	47	20	10.212
314	898086	P	29	before	7.554
314	898086	P	31	2	6.294
314	898087	P	43	20	4.95
315	898327	C	32	2	33.484
315	898328	C	31	before	21.375
315	898328	C	51	20	18.768
316	898383	C	36	before	6.767
316	898383	C	38	2	18.946
316	898383	C	56	20	3.218
316	898384	C	33	before	12.012
316	898384	C	35	2	28.736
316	898384	C	53	20	9.209
317	898322	C	27	before	12.1
317	898323	C	27	2	41.6685
317	898323	C	46	20	6.254333333
317	898324	P	51	20	7.326
318	898100	C	30	before	12.997
318	898151	C	30	2	54.761
318	898151	C	48	20	7.024
318	898173	P	41	20	19.06
319	898337	C	54	20	22.829
319	898339	C	28	before	4.264
319	898339	C	30	2	43.894
319	898339	C	50	20	13.037
320	898191	C	30	before	15.754
320	898191	C	32	2	18.495
320	898193	C	25	before	10.043
320	898193	C	27	2	29.486
320	898193	C	45	20	5.737
321	898089	P	35	2	8.353
321	898089	P	53	20	8.012
322	898195	C	32	before	5.902
322	898195	C	52	20	9.688
322	898196	P	30	before	5.953
322	898196	P	50	20	6.481
323	898345	P	49	20	5.577
323	898347	C	31	before	6.98
323	898348	C	47	20	8.045
324	898341	P	30	before	20.332
324	898341	P	32	2	8.575
324	898341	P	52	20	16.229
324	898342	P	33	2	7.6025
324	898343	C	47	20	10.198
325	898356	C	31	before	14.803
325	898356	C	51	20	13.787
325	898357	P	28	before	15.809
325	898357	P	48	20	7.84
326	898054	P	34	2	16.926
326	898055	C	30	before	11.248
326	898055	C	32	2	39.963
326	898057	P	44	20	4.639
327	898064	P	38	before	3.638
327	898064	P	58	20	13.983
327	898169	C	50	20	14.885
328	898152	P	37	before	8.817
328	898152	P	39	2	6.208
328	898153	C	53	20	10.164
328	898154	P	37	2	13.769
328	898154	P	55	20	10.227
231	898391	P	37	2	10.487
231	898391	P	51	20	15.499
231	898392	C	33	before	8.681
232	898367	C	37	2	28.083
232	898368	P	37	before	6.369
232	898368	P	39	2	2.82
232	898368	P	57	20	13.873
232	898369	C	50	20	8.635
233	898373	P	41	2	21.849
233	898375	C	37	before	8.421
234	898376	P	54	20	11.129
234	898378	C	34	2	13.789
234	898379	C	36	before	10.949
234	898379	C	55	20	22.921
235	898388	C	36	before	9.506
235	898389	P	41	2	37.554
235	898389	P	55	20	7.4
236	898361	P	34	before	10.54
236	898361	P	36	2	9.198
236	898365	P	27	before	6.527
601	M005451	P	22	before	4.144
601	M005451	P	24	2	3.929
601	M005452	C	25	before	8.687
601	M005452	C	27	2	21.918
601	M005452	C	37	20	3.775
601	M005453	C	20	before	1.98
601	M005453	C	22	2	65.323
601	M005454	P	20	2	10.131
602	M005233	P	25	before	3.115
602	M005233	P	27	2	11.063
602	M005233	P	37	20	5.406
602	M005234	C	22	before	0.99
602	M005234	C	24	2	10.535
