Species	GF	Decid_Evergreen	Needle_Broadlf	C3C4	N2_fixer	LL	LMA	Nmass	Pmass	Amass	Gs
Aa_sp	H	NA	NA	NA	N	NA	7.578428568	1.524404629	NA	NA	NA
Abies_alba	T	E	N	C3	N	7.337513316	9.665911749	1.265577383	0.428399118	4.294090678	NA
Abies_lasiocarpa	T	E	N	C3	N	7.259211637	11.08516191	1.012919976	NA	2.888385918	6.742865742
Abronia_villosa	H	NA	B	NA	N	NA	6.384492252	2.011679619	NA	14.15839201	NA
Abutilon_theophrastii	H	NA	B	NA	N	NA	4.963246145	1.811929954	NA	12.69971108	NA
Acacia_auriculiformis	T	E	B	C3	Y	2.718281828	7.555504683	1.483570498	0.398192886	8.44469901	NA
Acacia_colletioides	S	E	N	C3	Y	4.829731745	12.92482313	1.286611671	0.267467086	4.090495359	8.380194652
Acacia_dimidiata	S	E	B	NA	Y	NA	9.975801138	1.396052703	NA	NA	NA
Acacia_doratoxylon	S	E	B	C3	Y	3.651127756	10.38189195	1.352874166	0.339282594	6.208477552	8.561890475
Acacia_floribunda	T	E	B	C3	Y	3.084084411	8.155097334	1.437640785	0.288192925	7.588669065	9.771471669
Acacia_havilandiorum	S	E	N	C3	Y	3.756077675	13.67188307	1.177287708	0.262568792	4.41902626	8.089366522
Acacia_holosericea	T	E	B	NA	Y	NA	11.54343611	1.335878266	NA	NA	NA
Acacia_karroo	T	NA	B	C3	Y	NA	7.389056099	1.833586442	NA	NA	NA
Acacia_mimula	T	E	B	NA	Y	NA	9.675738158	1.459678418	NA	NA	NA
Acacia_nigrescens	T	NA	NA	NA	Y	NA	NA	NA	NA	NA	NA
Acacia_oswaldii	S	E	B	C3	Y	3.750592469	11.26676139	1.302664119	0.309151078	5.015085054	8.18236589
Acacia_robusta	T	NA	B	C3	Y	NA	8.461182328	NA	NA	NA	NA
Acacia_suaveolens	S	E	B	C3	Y	4.342585287	10.41677409	1.324610899	0.190600185	5.303154571	9.700379424
